# seconds_into_experiment	num_bbs_total	new_bbs_since_last
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
46	0	
47	0	
51	0	
57	0	
67	0	
68	0	
77	0	
118	0	
119	0	
133	0	
274	0	
275	0	
276	0	
277	0	
278	0	
279	0	
280	0	
281	0	
282	0	
283	0	
284	0	
285	0	
393	0	
394	0	
395	0	
396	0	
397	0	
398	0	
399	0	
400	0	
401	0	
402	0	
403	0	
404	0	
405	0	
406	0	
407	0	
408	0	
409	0	
561	0	
562	0	
563	0	
564	0	
565	0	
566	0	
567	0	
568	0	
569	0	
570	0	
571	0	
572	0	
573	0	
574	0	
575	0	
576	0	
577	0	
581	0	
582	0	
586	0	
587	0	
589	0	
590	0	
591	0	
592	0	
597	0	
598	0	
601	0	
607	0	
608	0	
628	0	
632	0	
633	0	
637	0	
653	0	
654	0	
657	0	
658	0	
659	0	
795	0	
796	0	
797	0	
798	0	
799	0	
800	0	
801	0	
802	0	
803	0	
804	0	
805	0	
806	0	
810	0	
813	0	
815	0	
819	0	
820	0	
821	0	
826	0	
827	0	
828	0	
829	0	
830	0	
831	0	
832	0	
841	0	
842	0	
851	0	
852	0	
961	0	
962	0	
963	0	
964	0	
965	0	
966	0	
967	0	
968	0	
969	0	
970	0	
971	0	
972	0	
973	0	
974	0	
975	0	
977	0	
978	0	
979	0	
980	0	
982	0	
983	0	
1206	0	
1207	0	
1208	0	
1209	0	
1210	0	
1211	0	
1212	0	
1213	0	
1214	0	
1215	0	
1216	0	
1217	0	
1218	0	
1219	0	
1220	0	
1221	0	
1222	0	
1223	0	
1224	0	
1226	0	
1227	0	
1241	0	
1242	0	
1243	0	
1244	0	
1245	0	
1246	0	
1247	0	
1248	0	
1262	0	
1263	0	
1264	0	
1277	0	
1278	0	
1282	0	
1283	0	
1683	0	
1685	0	
1686	0	
1687	0	
1716	0	
1717	0	
1718	0	
1726	0	
1727	0	
1728	0	
1747	0	
1748	0	
1749	0	
1767	0	
1768	0	
1778	0	
1779	0	
1805	0	
1807	0	
1808	0	
1809	0	
1810	0	
1811	0	
1812	0	
1813	0	
1814	0	
1815	0	
1816	0	
1817	0	
1818	0	
1819	0	
1820	0	
1821	0	
1822	0	
1823	0	
1824	0	
1825	0	
1831	0	
1834	0	
1835	0	
1836	0	
1838	0	
1839	0	
1840	0	
1841	0	
1844	0	
1845	0	
1846	0	
1848	0	
1849	0	
1850	0	
2023	0	
2024	0	
2025	0	
2074	0	
2132	0	
2133	0	
2135	0	
2136	0	
2137	0	
2243	0	
2244	0	
2245	0	
2246	0	
2269	0	
2270	0	
2271	0	
2403	0	
2404	0	
2407	0	
2408	0	
3028	0	
3382	0	
3383	0	
3384	0	
3385	0	
3386	0	
3981	0	
4385	0	
4386	0	
4387	0	
4388	0	
4389	0	
4525	0	
4526	0	
4660	0	
4661	0	
4662	0	
4663	0	
4664	0	
4665	0	
4666	0	
4667	0	
4669	0	
4670	0	
4678	0	
4679	0	
4680	0	
4681	0	
4682	0	
4934	0	
5888	0	
6842	0	
7795	0	
8748	0	
9702	0	
10656	0	
11609	0	
16546	0	
16547	0	
16548	0	
16549	0	
16550	0	
16551	0	
16552	0	
20336	0	
