# seconds_into_experiment	num_bbs_total	new_bbs_since_last
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
22	0	
75	0	
76	0	
134	0	
135	0	
139	0	
147	0	
149	0	
152	0	
153	0	
154	0	
155	0	
158	0	
159	0	
160	0	
170	0	
171	0	
174	0	
194	0	
200	0	
201	0	
202	0	
288	0	
289	0	
290	0	
291	0	
292	0	
293	0	
294	0	
423	0	
424	0	
425	0	
426	0	
427	0	
428	0	
429	0	
430	0	
431	0	
432	0	
433	0	
434	0	
435	0	
436	0	
437	0	
438	0	
439	0	
440	0	
441	0	
442	0	
443	0	
444	0	
445	0	
448	0	
458	0	
459	0	
463	0	
637	0	
638	0	
639	0	
640	0	
641	0	
642	0	
643	0	
644	0	
645	0	
646	0	
647	0	
648	0	
649	0	
650	0	
651	0	
652	0	
653	0	
811	0	
812	0	
813	0	
814	0	
815	0	
816	0	
817	0	
818	0	
1054	0	
1055	0	
1056	0	
1057	0	
1058	0	
1059	0	
1060	0	
1061	0	
1062	0	
1063	0	
1064	0	
1065	0	
1066	0	
1067	0	
1068	0	
1069	0	
1070	0	
1072	0	
1074	0	
1075	0	
1076	0	
1077	0	
1078	0	
1079	0	
1080	0	
1084	0	
1085	0	
1090	0	
1091	0	
1095	0	
1141	0	
1142	0	
1151	0	
1152	0	
1178	0	
1181	0	
1182	0	
1183	0	
1260	0	
1263	0	
1264	0	
1265	0	
1394	0	
1395	0	
1396	0	
1457	0	
1525	0	
1526	0	
1527	0	
1654	0	
1656	0	
1657	0	
1658	0	
1659	0	
1660	0	
1661	0	
1662	0	
1663	0	
1664	0	
1665	0	
1666	0	
1667	0	
1668	0	
1669	0	
1676	0	
1677	0	
1678	0	
1679	0	
1686	0	
1687	0	
1688	0	
1689	0	
1690	0	
1692	0	
1702	0	
1703	0	
1704	0	
1705	0	
1707	0	
1763	0	
1764	0	
1765	0	
1766	0	
1767	0	
1910	0	
1912	0	
1913	0	
1914	0	
1915	0	
2009	0	
2010	0	
2012	0	
2013	0	
2050	0	
2051	0	
2053	0	
2054	0	
2068	0	
2069	0	
2071	0	
2072	0	
2099	0	
2100	0	
2101	0	
2102	0	
2103	0	
2104	0	
2105	0	
2130	0	
2132	0	
2133	0	
2134	0	
2143	0	
2144	0	
2145	0	
2146	0	
2191	0	
2192	0	
2194	0	
2195	0	
2370	0	
2371	0	
2372	0	
2373	0	
2374	0	
2480	0	
2481	0	
2482	0	
2483	0	
4051	0	
4485	0	
4919	0	
5354	0	
5788	0	
6222	0	
6307	0	
6308	0	
6309	0	
6310	0	
6311	0	
6312	0	
6656	0	
7090	0	
7524	0	
7959	0	
8393	0	
8827	0	
69386	0	
69387	0	
69388	0	
69389	0	
69390	0	
69391	0	
