# seconds_into_experiment	num_bbs_total	new_bbs_since_last
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
22	0	
23	0	
25	0	
27	0	
28	0	
30	0	
31	0	
32	0	
33	0	
34	0	
37	0	
38	0	
47	0	
48	0	
49	0	
60	0	
63	0	
64	0	
72	0	
119	0	
120	0	
128	0	
364	0	
365	0	
368	0	
398	0	
399	0	
400	0	
401	0	
402	0	
403	0	
404	0	
405	0	
406	0	
407	0	
408	0	
550	0	
551	0	
552	0	
553	0	
554	0	
555	0	
556	0	
557	0	
558	0	
559	0	
560	0	
561	0	
562	0	
563	0	
564	0	
565	0	
566	0	
567	0	
568	0	
569	0	
570	0	
571	0	
573	0	
575	0	
576	0	
577	0	
578	0	
580	0	
581	0	
585	0	
591	0	
713	0	
714	0	
715	0	
716	0	
717	0	
718	0	
719	0	
720	0	
721	0	
722	0	
723	0	
724	0	
930	0	
931	0	
932	0	
933	0	
934	0	
935	0	
936	0	
937	0	
938	0	
939	0	
940	0	
941	0	
942	0	
943	0	
944	0	
945	0	
946	0	
956	0	
957	0	
958	0	
959	0	
961	0	
962	0	
963	0	
964	0	
965	0	
966	0	
967	0	
968	0	
969	0	
970	0	
971	0	
972	0	
1180	0	
1181	0	
1182	0	
1183	0	
1184	0	
1185	0	
1186	0	
1187	0	
1188	0	
1189	0	
1190	0	
1191	0	
1192	0	
1193	0	
1194	0	
1195	0	
1196	0	
1197	0	
1198	0	
1199	0	
1200	0	
1201	0	
1202	0	
1203	0	
1204	0	
1205	0	
1206	0	
1207	0	
1210	0	
1223	0	
1224	0	
1225	0	
1241	0	
1242	0	
1243	0	
1246	0	
1302	0	
1303	0	
1304	0	
1307	0	
1466	0	
1467	0	
1468	0	
1503	0	
1507	0	
1508	0	
1573	0	
1597	0	
1599	0	
1600	0	
1641	0	
1644	0	
1690	0	
1691	0	
1692	0	
1715	0	
1779	0	
1780	0	
1781	0	
1782	0	
1783	0	
1784	0	
1785	0	
1788	0	
1789	0	
1790	0	
1791	0	
1793	0	
1794	0	
1795	0	
1796	0	
1797	0	
1798	0	
1799	0	
1800	0	
1801	0	
1802	0	
1804	0	
1805	0	
1806	0	
1809	0	
1810	0	
1811	0	
1812	0	
1813	0	
1814	0	
1815	0	
1816	0	
1819	0	
1820	0	
1821	0	
1822	0	
1823	0	
1824	0	
1825	0	
1826	0	
1828	0	
1829	0	
1830	0	
1831	0	
1852	0	
1854	0	
1855	0	
1856	0	
1857	0	
1860	0	
1866	0	
1895	0	
1896	0	
1897	0	
1898	0	
1900	0	
1901	0	
1936	0	
1937	0	
1938	0	
1939	0	
1974	0	
1977	0	
1978	0	
1979	0	
1992	0	
1993	0	
1994	0	
1998	0	
2381	0	
2382	0	
2383	0	
2384	0	
2387	0	
3545	0	
3546	0	
3547	0	
3548	0	
3653	0	
4288	0	
4408	0	
4409	0	
4410	0	
4411	0	
4412	0	
5922	0	
6425	0	
6426	0	
6427	0	
6428	0	
6429	0	
7557	0	
9191	0	
10825	0	
11617	0	
11618	0	
11619	0	
11620	0	
11621	0	
12460	0	
14094	0	
15728	0	
17362	0	
18997	0	
20631	0	
28130	0	
28131	0	
28132	0	
28133	0	
28134	0	
28135	0	
28205	0	
28206	0	
28207	0	
28208	0	
28209	0	
28210	0	
28211	0	
28583	0	
28584	0	
28585	0	
28586	0	
28587	0	
28588	0	
55313	0	
