# seconds_into_experiment	num_bbs_total	new_bbs_since_last
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
19	0	
22	0	
29	0	
42	0	
52	0	
53	0	
57	0	
78	0	
79	0	
84	0	
103	0	
104	0	
112	0	
129	0	
130	0	
139	0	
144	0	
145	0	
185	0	
268	0	
269	0	
270	0	
271	0	
272	0	
273	0	
274	0	
275	0	
276	0	
277	0	
278	0	
279	0	
280	0	
283	0	
449	0	
450	0	
451	0	
452	0	
453	0	
454	0	
455	0	
456	0	
457	0	
458	0	
459	0	
460	0	
461	0	
464	0	
465	0	
466	0	
467	0	
469	0	
470	0	
474	0	
664	0	
665	0	
666	0	
667	0	
668	0	
669	0	
670	0	
671	0	
672	0	
673	0	
674	0	
675	0	
676	0	
677	0	
678	0	
679	0	
680	0	
684	0	
685	0	
692	0	
693	0	
695	0	
699	0	
700	0	
715	0	
716	0	
720	0	
914	0	
915	0	
916	0	
917	0	
918	0	
919	0	
920	0	
921	0	
922	0	
923	0	
924	0	
925	0	
926	0	
927	0	
929	0	
1150	0	
1151	0	
1152	0	
1153	0	
1154	0	
1155	0	
1156	0	
1157	0	
1158	0	
1159	0	
1160	0	
1161	0	
1162	0	
1163	0	
1165	0	
1170	0	
1171	0	
1185	0	
1187	0	
1188	0	
1192	0	
1200	0	
1205	0	
1206	0	
1213	0	
1214	0	
1215	0	
1222	0	
1223	0	
1228	0	
1229	0	
1234	0	
1240	0	
1241	0	
1243	0	
1256	0	
1257	0	
1258	0	
1261	0	
1282	0	
1283	0	
1284	0	
1400	0	
1401	0	
1438	0	
1439	0	
1440	0	
1517	0	
1518	0	
1595	0	
1596	0	
1635	0	
1636	0	
1750	0	
1751	0	
1752	0	
1753	0	
1754	0	
1755	0	
1756	0	
1757	0	
1758	0	
1759	0	
1760	0	
1761	0	
1762	0	
1763	0	
1764	0	
1765	0	
1766	0	
1767	0	
1768	0	
1769	0	
1770	0	
1771	0	
1772	0	
1773	0	
1774	0	
1775	0	
1776	0	
1777	0	
1778	0	
1779	0	
1780	0	
1781	0	
1806	0	
1807	0	
1808	0	
1809	0	
1810	0	
1811	0	
1813	0	
1823	0	
1859	0	
1860	0	
1861	0	
1862	0	
1863	0	
1864	0	
1967	0	
2112	0	
2256	0	
2401	0	
2545	0	
2689	0	
2834	0	
2959	0	
2960	0	
2961	0	
2962	0	
2963	0	
2964	0	
2978	0	
3197	0	
3198	0	
3199	0	
3200	0	
3201	0	
3202	0	
3984	0	
3985	0	
3986	0	
3987	0	
3988	0	
3989	0	
4004	0	
4005	0	
4007	0	
4008	0	
6184	0	
6386	0	
6587	0	
6972	0	
6973	0	
6974	0	
6975	0	
6976	0	
7668	0	
11960	0	
12306	0	
16941	0	
16942	0	
16943	0	
16944	0	
16945	0	
16946	0	
16947	0	
16948	0	
16949	0	
19397	0	
19399	0	
19400	0	
19401	0	
19402	0	
19467	0	
19468	0	
19469	0	
19471	0	
19472	0	
20658	0	
22781	0	
22782	0	
22783	0	
22785	0	
22786	0	
59621	0	
59622	0	
59623	0	
59624	0	
59625	0	
59626	0	
64104	0	
64105	0	
64106	0	
64107	0	
64122	0	
64124	0	
64125	0	
64126	0	
64127	0	
64128	0	
64206	0	
